Designator,Mid X,Mid Y,Layer,Rotation
C6,41.02,27.43,Top,0.0
C7,42.55,21.77,Top,180.0
C8,42.55,22.81,Top,180.0
C9,42.55,20.73,Top,180.0
C10,42.55,23.85,Top,180.0
C13,33.78,21.34,Top,90.0
C14,31.75,21.34,Top,90.0
C24, 4.45,16.26,Top,270.0
C25, 7.62,23.75,Top,270.0
C26,26.67,28.83,Top,270.0
C27,42.57,19.10,Top,0.0
D1, 5.21,33.78,Top,90.0
D2, 3.30,24.51,Top,270.0
FB1,42.67,25.15,Top,0.0
GND,35.94, 6.10,Top,0.0
IC3,25.27,19.94,Top,270.0
PS1, 8.13,16.13,Top,270.0
R4,49.66,13.21,Top,0.0
R5,49.66,12.07,Top,0.0
R6, 9.27,45.34,Top,90.0
R7,10.41,45.34,Top,90.0
R10, 5.97, 3.56,Top,90.0
R11, 7.11, 3.56,Top,90.0
R12,37.72,45.34,Top,0.0
R13,33.15,27.81,Top,180.0
R14,33.15,24.00,Top,0.0
SV1,41.79,32.00,Top,0.0
SV2,14.73, 7.87,Top,90.0
SV3,22.35, 7.87,Top,90.0
SV4,29.97, 7.87,Top,90.0
SV5,41.81,39.57,Top,0.0
SV6,27.49,41.27,Top,90.0
